"Month","Date","Hour","temperature","humidity"
6,5,23,31,75
6,6,1,32,75
6,6,2,32,71
6,6,3,28,54
6,6,4,31,69
6,6,5,31,71
6,6,16,30,74
6,6,17,30,75
6,6,18,30,75
6,6,19,30,75
6,6,20,30,75
6,6,21,30,75
6,12,22,10,20
6,12,23,10,30
6,15,4,21.71,72.57
6,15,4,20,100
