Date,Hour,Month,Temperature
23,15,5,30.62
23,16,5,30.07
23,17,5,28.45
23,18,5,27.27
23,19,5,26.37
23,20,5,26.21
23,21,5,25.95
23,22,5,25.62
23,23,5,25.17
24,0,5,24.76
24,1,5,24.39
24,2,5,24.2
24,3,5,24.04
24,4,5,23.87
24,5,5,23.74
24,6,5,23.86
24,7,5,24
24,8,5,24.92
24,9,5,25.5
24,10,5,25.8
24,11,5,25.17
24,12,5,25.19
24,13,5,25.12
24,14,5,25.2
24,15,5,25.2
24,16,5,25.22
24,17,5,24.82
24,18,5,24.41
24,19,5,24.05
24,20,5,24.15
24,21,5,24.27
24,22,5,24.36
24,23,5,24.35
25,0,5,24.21
25,1,5,23.98
25,2,5,23.8
25,3,5,23.68
25,4,5,23.54
25,5,5,23.54
25,6,5,23.68
25,7,5,23.84
25,8,5,24.72
25,9,5,25.91
25,10,5,27.52
25,11,5,29.57
25,12,5,29.71
25,13,5,30.73
25,14,5,31.57
25,15,5,30.24
25,16,5,30.94
25,17,5,29.68
25,18,5,28.09
25,19,5,26.57
25,20,5,26.19
25,21,5,25.77
25,22,5,25.31
25,23,5,25.23
26,0,5,25.28
26,1,5,25.37
26,2,5,25.36
26,3,5,25.27
26,4,5,25.2
26,5,5,25.38
26,6,5,26.53
26,7,5,27.28
26,8,5,28.68
26,9,5,29.96
26,10,5,30.98
26,11,5,30.71
26,12,5,31.31
26,13,5,31.98
26,14,5,32.77
26,15,5,32.22
26,16,5,31.47
26,17,5,30.2
26,18,5,28.66
26,19,5,27.21
26,20,5,27.08
26,21,5,26.9
26,22,5,26.71
26,23,5,26.62
27,0,5,26.25
27,1,5,26.34
27,2,5,26.29
27,3,5,26.20
27,4,5,26.09
27,5,5,26.27
27,6,5,27.29
27,7,5,27.94
27,8,5,29.30
27,9,5,30.56
27,10,5,31.75
27,11,5,31.64
27,12,5,33.82
27,13,5,33.84
27,14,5,33.79
27,15,5,32.67
27,16,5,31.29
27,17,5,30.14
27,18,5,28.83
27,19,5,28.72
27,20,5,28.36
27,21,5,28.03
27,22,5,27.73
27,23,5,27.53
28,0,5,27.25
28,1,5,27.00
28,2,5,26.90
28,3,5,26.90
28,4,5,26.87
28,5,5,26.92
28,6,5,27.70
28,7,5,28.31
28,8,5,29.61
28,9,5,30.78
28,10,5,31.78
28,11,5,31.37
28,12,5,33.24
28,13,5,32.72
28,14,5,33.38
28,15,5,32.71
28,16,5,31.79
28,17,5,30.32
28,18,5,28.70
28,19,5,27.94
28,20,5,27.64
28,21,5,27.36
28,22,5,27.01
28,23,5,26.83
29,0,5,26.80
29,1,5,26.66
29,2,5,26.50
29,3,5,26.35
29,4,5,26.20
29,5,5,26.37
29,6,5,27.31
29,7,5,28.07
29,8,5,29.29
29,9,5,30.40
29,10,5,31.33
29,11,5,30.88
29,12,5,32.57
29,13,5,32.14
29,14,5,33.36
29,15,5,33.45
29,16,5,33.39
29,17,5,31.60
29,18,5,29.52
29,19,5,27.88
29,20,5,27.49
29,21,5,27.13
29,22,5,26.81
29,23,5,26.72
30,0,5,26.69
30,1,5,26.57
30,2,5,26.37
30,3,5,26.26
30,4,5,26.08
30,5,5,26.20
30,6,5,27.23
30,7,5,28.01
30,8,5,29.41
30,9,5,29.66
30,10,5,30.59
30,11,5,30.93
30,12,5,31.23
30,13,5,31.83
30,14,5,30.97
30,15,5,31.35
30,16,5,31.71
30,17,5,30.49
30,18,5,28.91
30,19,5,27.13
30,20,5,26.92
30,21,5,26.79
30,22,5,26.67
30,23,5,26.57
31,0,5,26.47
31,1,5,26.39
31,2,5,26.24
31,3,5,26.10
31,4,5,25.99
31,5,5,25.86
31,6,5,26.56
31,7,5,26.99
31,8,5,28.33
31,9,5,29.59
31,10,5,30.65
31,11,5,29.74
31,12,5,30.06
31,13,5,30.32
31,14,5,29.87
31,15,5,29.42
31,16,5,29.73
31,17,5,29.25
31,18,5,28.58
31,19,5,27.95
31,20,5,27.56
31,21,5,27.21
31,22,5,26.87
31,23,5,26.78
1,0,6,26.61
1,1,6,26.29
1,2,6,26.17
1,3,6,26.09
1,4,6,26.02
1,5,6,26.19
1,6,6,27.11
1,7,6,27.88
1,8,6,29.43
1,9,6,29.80
1,10,6,30.84
1,11,6,31.59
1,12,6,32.33
1,13,6,32.99
1,14,6,32.73
1,15,6,32.46
1,16,6,33.71
1,17,6,32.12
1,18,6,30.21
1,19,6,28.35
1,20,6,28.10
1,21,6,27.92
1,22,6,27.74
1,23,6,27.55
2,0,6,27.36
2,1,6,27.17
2,2,6,27.30
2,3,6,27.10
2,4,6,26.93
2,5,6,26.71
2,6,6,27.67
2,7,6,28.26
2,8,6,29.88
2,9,6,31.43
2,10,6,32.97
2,11,6,34.25
2,12,6,35.49
2,13,6,36.59
2,14,6,36.71
2,15,6,35.15
2,16,6,36.50
2,17,6,34.58
2,18,6,32.33
2,19,6,29.22
2,20,6,28.96
2,21,6,28.76
2,22,6,28.56
2,23,6,28.36
3,0,6,28.11
3,1,6,27.87
3,2,6,28.12
3,3,6,27.93
3,4,6,27.74
3,5,6,27.64
3,6,6,27.83
3,7,6,28.18
3,8,6,28.48
3,9,6,28.65
3,10,6,28.83
3,11,6,29.45
3,12,6,30.22
3,13,6,31.16
3,14,6,31.14
3,15,6,31.03
3,16,6,30.79
3,17,6,30.16
3,18,6,29.28
3,19,6,30.33
3,20,6,30.18
3,21,6,30.09
3,22,6,30.00
3,23,6,29.46
4,0,6,28.86
4,1,6,28.30
4,2,6,28.01
4,3,6,27.70
4,4,6,27.51
4,5,6,27.36
4,6,6,28.79
4,7,6,29.67
4,8,6,31.75
4,9,6,33.48
4,10,6,34.83
4,11,6,35.64
4,12,6,36.39
4,13,6,37.30
4,14,6,37.27
4,15,6,37.17
4,16,6,36.77
4,17,6,35.02
4,18,6,32.94
4,19,6,31.10
4,20,6,30.26
4,21,6,29.49
4,22,6,28.66
4,23,6,28.18
5,0,6,28.07
5,1,6,27.83
5,2,6,27.59
5,3,6,27.18
5,4,6,26.81
5,5,6,26.91
5,6,6,28.51
5,7,6,29.43
5,8,6,31.38
5,9,6,33.27
5,10,6,35.20
5,11,6,36.16
5,12,6,36.96
5,13,6,37.63
5,14,6,37.68
5,15,6,37.56
5,16,6,37.35
5,17,6,35.64
5,18,6,33.68
5,19,6,31.73
5,20,6,30.77
5,21,6,29.97
5,22,6,29.19
5,23,6,29.09
6,0,6,28.89
6,1,6,28.76
6,2,6,28.29
6,3,6,27.85
6,4,6,27.30
6,5,6,27.16
